kappa,agent_id,episode_idx,outcome,steps_used,target_switches,n_memories
0.25,50,7,RESOURCE_TAKEN,12,0,9
0.25,50,8,TIMEOUT,12,2,10
0.25,50,9,TIMEOUT,12,0,11
0.25,51,0,TIMEOUT,12,0,2
0.25,51,1,RESOURCE_TAKEN,12,0,3
0.25,51,2,TIMEOUT,12,1,4
0.25,51,3,TIMEOUT,12,3,5
0.25,51,4,TIMEOUT,12,0,6
0.25,51,5,TIMEOUT,12,1,7
0.25,51,6,RESOURCE_TAKEN,11,0,8
0.25,51,7,TIMEOUT,12,2,9
0.25,51,8,RESOURCE_TAKEN,11,0,10
0.25,51,9,TIMEOUT,12,2,11
0.25,52,0,TIMEOUT,12,3,2
0.25,52,1,TIMEOUT,12,1,3
0.25,52,2,TIMEOUT,12,0,4
0.25,52,3,TIMEOUT,12,2,5
0.25,52,4,TIMEOUT,12,1,6
0.25,52,5,RESOURCE_TAKEN,7,0,7
0.25,52,6,TIMEOUT,12,0,8
0.25,52,7,TIMEOUT,12,0,9
0.25,52,8,RESOURCE_TAKEN,12,1,10
0.25,52,9,TIMEOUT,12,0,11
0.25,53,0,TIMEOUT,12,0,2
0.25,53,1,RESOURCE_TAKEN,9,0,3
0.25,53,2,TIMEOUT,12,0,4
0.25,53,3,RESOURCE_TAKEN,11,0,5
0.25,53,4,TIMEOUT,12,2,6
0.25,53,5,TIMEOUT,12,2,7
0.25,53,6,TIMEOUT,12,0,8
0.25,53,7,RESOURCE_TAKEN,9,0,9
0.25,53,8,TIMEOUT,12,1,10
0.25,53,9,TIMEOUT,12,3,11
0.25,54,0,TIMEOUT,12,2,2
0.25,54,1,TIMEOUT,12,0,3
0.25,54,2,TIMEOUT,12,0,4
0.25,54,3,RESOURCE_TAKEN,11,0,5
0.25,54,4,TIMEOUT,12,1,6
0.25,54,5,TIMEOUT,12,0,7
0.25,54,6,TIMEOUT,12,1,8
0.25,54,7,RESOURCE_TAKEN,10,0,9
0.25,54,8,TIMEOUT,12,0,10
0.25,54,9,RESOURCE_TAKEN,12,0,11
0.25,55,0,TIMEOUT,12,0,2
0.25,55,1,TIMEOUT,12,0,3
0.25,55,2,TIMEOUT,12,2,4
0.25,55,3,RESOURCE_TAKEN,10,0,5
0.25,55,4,TIMEOUT,12,3,6
0.25,55,5,TIMEOUT,12,1,7
0.25,55,6,TIMEOUT,12,0,8
0.25,55,7,RESOURCE_TAKEN,11,1,9
0.25,55,8,TIMEOUT,12,0,10
0.25,55,9,RESOURCE_TAKEN,9,0,11
0.25,56,0,TIMEOUT,12,0,2
0.25,56,1,TIMEOUT,12,0,3
0.25,56,2,TIMEOUT,12,1,4
0.25,56,3,RESOURCE_TAKEN,7,0,5
0.25,56,4,TIMEOUT,12,0,6
0.25,56,5,TIMEOUT,12,2,7
0.25,56,6,TIMEOUT,12,0,8
0.25,56,7,RESOURCE_TAKEN,12,1,9
0.25,56,8,TIMEOUT,12,1,10
0.25,56,9,RESOURCE_TAKEN,11,0,11
0.25,57,0,TIMEOUT,12,2,2
0.25,57,1,RESOURCE_TAKEN,11,0,3
0.25,57,2,TIMEOUT,12,0,4
0.25,57,3,TIMEOUT,12,1,5
0.25,57,4,RESOURCE_TAKEN,12,0,6
0.25,57,5,TIMEOUT,12,0,7
0.25,57,6,TIMEOUT,12,1,8
0.25,57,7,RESOURCE_TAKEN,11,0,9
0.25,57,8,TIMEOUT,12,2,10
0.25,57,9,TIMEOUT,12,0,11
0.25,58,0,TIMEOUT,12,1,2
0.25,58,1,RESOURCE_TAKEN,9,0,3
