seed_group,agent_id,episode_idx,outcome,rescued
2,8,4,PARTNER_RESCUED,1
2,8,5,PARTNER_RESCUED,1
2,8,6,PARTNER_RESCUED,1
2,8,7,PARTNER_RESCUED,1
2,8,8,PARTNER_RESCUED,1
2,8,9,PARTNER_RESCUED,1
2,9,0,PARTNER_RESCUED,1
2,9,1,PARTNER_RESCUED,1
2,9,2,PARTNER_RESCUED,1
2,9,3,PARTNER_RESCUED,1
2,9,4,PARTNER_RESCUED,1
2,9,5,PARTNER_RESCUED,1
2,9,6,PARTNER_RESCUED,1
2,9,7,PARTNER_RESCUED,1
2,9,8,PARTNER_RESCUED,1
2,9,9,TIMEOUT,0
2,10,0,PARTNER_RESCUED,1
2,10,1,TIMEOUT,0
2,10,2,PARTNER_RESCUED,1
2,10,3,PARTNER_RESCUED,1
2,10,4,TIMEOUT,0
2,10,5,PARTNER_RESCUED,1
2,10,6,TIMEOUT,0
2,10,7,TIMEOUT,0
2,10,8,RESOURCE_TAKEN,0
2,10,9,PARTNER_RESCUED,1
2,11,0,PARTNER_RESCUED,1
2,11,1,PARTNER_RESCUED,1
