inject_mode,beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0.05,0.05,1.0,37,6,TIMEOUT,0,8,1
off,0.05,0.05,1.0,37,7,TIMEOUT,0,9,2
off,0.05,0.05,1.0,37,8,TIMEOUT,0,10,1
off,0.05,0.05,1.0,37,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,38,0,TIMEOUT,0,2,0
off,0.05,0.05,1.0,38,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,38,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,38,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,38,4,TIMEOUT,0,6,1
off,0.05,0.05,1.0,38,5,TIMEOUT,0,7,0
off,0.05,0.05,1.0,38,6,TIMEOUT,0,8,2
off,0.05,0.05,1.0,38,7,TIMEOUT,0,9,0
off,0.05,0.05,1.0,38,8,TIMEOUT,0,10,0
off,0.05,0.05,1.0,38,9,TIMEOUT,0,11,0
off,0.05,0.05,1.0,39,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,39,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,39,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,39,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,39,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,39,5,TIMEOUT,0,7,0
off,0.05,0.05,1.0,39,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,39,7,TIMEOUT,0,9,1
off,0.05,0.05,1.0,39,8,TIMEOUT,0,10,2
off,0.05,0.05,1.0,39,9,TIMEOUT,0,11,1
off,0.15,0.05,1.0,0,0,PARTNER_RESCUED,1,2,0
off,0.15,0.05,1.0,0,1,TIMEOUT,0,3,0
off,0.15,0.05,1.0,0,2,TIMEOUT,0,4,0
off,0.15,0.05,1.0,0,3,TIMEOUT,0,5,0
