beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,40,9,TIMEOUT,0,11,2
0.05,0.05,41,0,PARTNER_RESCUED,1,2,0
0.05,0.05,41,1,TIMEOUT,0,3,1
0.05,0.05,41,2,TIMEOUT,0,4,1
0.05,0.05,41,3,TIMEOUT,0,5,1
0.05,0.05,41,4,TIMEOUT,0,6,1
0.05,0.05,41,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,41,6,PARTNER_RESCUED,1,8,0
0.05,0.05,41,7,PARTNER_DEAD,0,9,0
0.05,0.05,41,8,PARTNER_RESCUED,1,10,0
0.05,0.05,41,9,PARTNER_RESCUED,1,11,0
0.05,0.05,42,0,TIMEOUT,0,2,0
0.05,0.05,42,1,TIMEOUT,0,3,0
0.05,0.05,42,2,TIMEOUT,0,4,3
0.05,0.05,42,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,42,4,PARTNER_RESCUED,1,6,0
0.05,0.05,42,5,PARTNER_RESCUED,1,7,0
0.05,0.05,42,6,TIMEOUT,0,8,1
0.05,0.05,42,7,TIMEOUT,0,9,0
0.05,0.05,42,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,42,9,PARTNER_RESCUED,1,11,0
0.05,0.05,43,0,PARTNER_RESCUED,1,2,0
0.05,0.05,43,1,TIMEOUT,0,3,0
0.05,0.05,43,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,43,3,TIMEOUT,0,5,0
0.05,0.05,43,4,TIMEOUT,0,6,1
0.05,0.05,43,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,43,6,PARTNER_RESCUED,1,8,0
0.05,0.05,43,7,TIMEOUT,0,9,2
0.05,0.05,43,8,TIMEOUT,0,10,0
0.05,0.05,43,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,44,0,PARTNER_RESCUED,1,2,0
0.05,0.05,44,1,TIMEOUT,0,3,1
0.05,0.05,44,2,TIMEOUT,0,4,2
0.05,0.05,44,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,44,4,PARTNER_RESCUED,1,6,0
0.05,0.05,44,5,PARTNER_DEAD,0,7,0
0.05,0.05,44,6,TIMEOUT,0,8,1
0.05,0.05,44,7,TIMEOUT,0,9,0
0.05,0.05,44,8,TIMEOUT,0,10,1
0.05,0.05,44,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,45,0,TIMEOUT,0,2,1
0.05,0.05,45,1,TIMEOUT,0,3,2
0.05,0.05,45,2,TIMEOUT,0,4,1
0.05,0.05,45,3,TIMEOUT,0,5,0
0.05,0.05,45,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,45,5,PARTNER_RESCUED,1,7,0
0.05,0.05,45,6,PARTNER_RESCUED,1,8,0
0.05,0.05,45,7,TIMEOUT,0,9,1
0.05,0.05,45,8,TIMEOUT,0,10,0
0.05,0.05,45,9,RESOURCE_TAKEN,0,11,0
0.05,0.05,46,0,PARTNER_RESCUED,1,2,0
0.05,0.05,46,1,TIMEOUT,0,3,2
0.05,0.05,46,2,TIMEOUT,0,4,0
0.05,0.05,46,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,46,4,TIMEOUT,0,6,1
0.05,0.05,46,5,PARTNER_RESCUED,1,7,0
0.05,0.05,46,6,TIMEOUT,0,8,2
0.05,0.05,46,7,RESOURCE_TAKEN,0,9,0
0.05,0.05,46,8,PARTNER_RESCUED,1,10,0
0.05,0.05,46,9,TIMEOUT,0,11,1
0.05,0.05,47,0,PARTNER_RESCUED,1,2,0
0.05,0.05,47,1,PARTNER_DEAD,0,3,0
0.05,0.05,47,2,PARTNER_RESCUED,1,4,0
0.05,0.05,47,3,TIMEOUT,0,5,1
0.05,0.05,47,4,TIMEOUT,0,6,1
0.05,0.05,47,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,47,6,TIMEOUT,0,8,0
0.05,0.05,47,7,TIMEOUT,0,9,0
0.05,0.05,47,8,TIMEOUT,0,10,0
0.05,0.05,47,9,TIMEOUT,0,11,0
0.05,0.05,48,0,PARTNER_RESCUED,1,2,0
0.05,0.05,48,1,TIMEOUT,0,3,0
0.05,0.05,48,2,TIMEOUT,0,4,0
0.05,0.05,48,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,48,4,PARTNER_RESCUED,1,6,0
0.05,0.05,48,5,PARTNER_RESCUED,1,7,0
0.05,0.05,48,6,TIMEOUT,0,8,2
0.05,0.05,48,7,TIMEOUT,0,9,0
0.05,0.05,48,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,48,9,PARTNER_RESCUED,1,11,0
0.05,0.05,49,0,PARTNER_RESCUED,1,2,0
0.05,0.05,49,1,TIMEOUT,0,3,0
0.05,0.05,49,2,TIMEOUT,0,4,0
