beta_guilt,beta_loyalty,kappa,agent_id,ep0_outcome,ep1_outcome,snapshot_after_ep,mem_idx,tag,age,importance,guilt,loyalty,survival,fear,curiosity,emo_magnitude,mem_class
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,9,8,timeout,21,0.5,0.13622465051524593,0.10216848788643444,0.2,0.2,0.0,0.6383931384016804,guilt
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,9,9,failure,12,0.85,0.4593060745132413,0.2701800438313183,0.3,0.2,0.0,1.2294861183445596,guilt
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,9,10,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,4,0,seed,72,0.9,0.04836019138446626,0.032240127589644174,0.2,0.1,0.0,0.3806003189741104,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,4,1,timeout,45,0.5,0.039776102794836884,0.02983207709612768,0.2,0.2,0.0,0.4696081798909646,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,4,2,failure,34,0.85,0.1486009225152275,0.08741230736189849,0.3,0.2,0.0,0.736013229877126,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,4,3,timeout,22,0.5,0.12941341798948364,0.09706006349211271,0.2,0.2,0.0,0.6264734814815964,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,4,4,failure,12,0.85,0.4593060745132413,0.2701800438313183,0.3,0.2,0.0,1.2294861183445596,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,4,5,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,9,0,seed,124,0.9,0.0033582690417355214,0.002238846027823681,0.2,0.1,0.0,0.3055971150695592,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,9,1,timeout,97,0.5,0.0027621655496528337,0.002071624162239626,0.2,0.2,0.0,0.4048337897118925,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,9,2,failure,86,0.85,0.010319270113900434,0.006070158890529661,0.3,0.2,0.0,0.5163894290044301,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,9,3,timeout,74,0.5,0.008986835303527368,0.00674012647764553,0.2,0.2,0.0,0.4157269617811729,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,9,4,failure,64,0.85,0.03189551832944863,0.018762069605558006,0.3,0.2,0.0,0.5506575879350066,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,9,5,timeout,52,0.5,0.02777713607489343,0.02083285205617009,0.2,0.2,0.0,0.44860998813106356,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,9,6,failure,44,0.85,0.08897286151476679,0.05233697736162749,0.3,0.2,0.0,0.6413098388763943,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,9,7,timeout,32,0.5,0.07748459378340034,0.058113445337550265,0.2,0.2,0.0,0.5355980391209506,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,9,8,timeout,20,0.5,0.14339436896341679,0.10754577672256257,0.2,0.2,0.0,0.6509401456859794,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,9,9,failure,12,0.85,0.4593060745132413,0.2701800438313183,0.3,0.2,0.0,1.2294861183445596,guilt
0.05,0.05,0.5,7,TIMEOUT,RESOURCE_TAKEN,9,10,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,4,0,seed,62,0.9,0.08077034873776566,0.05384689915851046,0.2,0.1,0.0,0.4346172478962761,guilt
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,4,1,timeout,35,0.5,0.06643335359504285,0.04982501519628215,0.2,0.2,0.0,0.5162583687913249,guilt
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,4,2,failure,26,0.85,0.22399208029588077,0.131760047232871,0.3,0.2,0.0,0.8557521275287516,guilt
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,4,3,timeout,14,0.5,0.1950699916462118,0.14630249373465887,0.2,0.2,0.0,0.7413724853808707,guilt
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,4,4,failure,6,0.85,0.6248281070312499,0.3675459453124999,0.3,0.2,0.0,1.4923740523437496,guilt
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,4,5,rescue,0,0.7,0.0,0.8,0.1,0.1,0.0,1.0,loyalty
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,9,0,seed,117,0.9,0.004808949859216288,0.0032059665728108593,0.2,0.1,0.0,0.30801491643202716,guilt
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,9,1,timeout,90,0.5,0.003955345883863578,0.0029665094128976843,0.2,0.2,0.0,0.4069218552967613,guilt
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,9,2,failure,81,0.85,0.013336164815898473,0.007844802832881448,0.3,0.2,0.0,0.52118096764878,guilt
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,9,3,timeout,69,0.5,0.011614185447063137,0.008710639085297357,0.2,0.2,0.0,0.42032482453236053,guilt
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,9,4,failure,61,0.85,0.037201362681963716,0.021883154518802166,0.3,0.2,0.0,0.5590845172007659,guilt
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,9,5,rescue,55,0.7,0.0,0.0476308440844235,0.1,0.1,0.0,0.2476308440844235,loyalty
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,9,6,timeout,43,0.5,0.044073244094002095,0.033054933070501585,0.2,0.2,0.0,0.4771281771645037,guilt
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,9,7,failure,31,0.85,0.17332080188392188,0.10195341287289517,0.3,0.2,0.0,0.775274214756817,guilt
0.05,0.05,0.5,8,TIMEOUT,RESOURCE_TAKEN,9,8,rescue,24,0.7,0.0,0.23359121947101794,0.1,0.1,0.0,0.433591219471018,loyalty
